conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
ARCHITECTURAL_COMPONENT_229_12,lucarne,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_13,mullioned window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_14,north light,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_15,oculus,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_16,oriel window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_17,pierced window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_18,quatrefoil window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_19,rose window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_20,sash window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_21,traceried head window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_22,trefoil window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_23,venetian window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_24,wheel window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_230,windshaft,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_231,yoke,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
